index,unique_id,indicator_id,name,measure,measure_info,geo_type_name,geo_join_id,geo_place_name,time_period,start_date,data_value,date,year,VIN (1-10),County,City,State,Postal Code,EV_year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,no_vehicle,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
20,164930,383,Sulfur Dioxide (SO2),Mean,ppb,CD,206,Belmont and East Tremont (CD6),Winter 2009-10,2009-12-01T00:00:00,5.3,2009-12-01,2009,KNDCC3LD0J,Thurston,Olympia,WA,98502.0,2018,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,26,0,22.0,201921373,POINT (-122.92333 47.03779),PUGET SOUND ENERGY INC,53067010520.0
21,164931,383,Sulfur Dioxide (SO2),Mean,ppb,CD,207,Kingsbridge Heights and Bedford (CD7),Winter 2009-10,2009-12-01T00:00:00,7.49,2009-12-01,2009,1G1RC6S50G,Skagit,Anacortes,WA,98221.0,2016,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,0,40.0,475638236,POINT (-122.61214 48.51748),PUGET SOUND ENERGY INC,53057940403.0
22,130355,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,101,Kingsbridge - Riverdale,2005-2007,2005-01-01T00:00:00,117.7,2005-01-01,2005,1FADP5CU3E,Garfield,Pomeroy,WA,99347.0,2014,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,9.0,342528266,POINT (-117.58937 46.47398),PACIFICORP,53023970300.0
23,130356,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,102,Northeast Bronx,2005-2007,2005-01-01T00:00:00,77.3,2005-01-01,2005,1N4BZ1DPXL,Walla Walla,Walla Walla,WA,99362.0,2020,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,16.0,101669648,POINT (-118.34261 46.07068),PACIFICORP,53071920801.0
24,130357,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,103,Fordham - Bronx Pk,2005-2007,2005-01-01T00:00:00,67.3,2005-01-01,2005,5YJ3E1EAXJ,Skagit,Bow,WA,98232.0,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,40.0,3338996,POINT (-122.397 48.56045),PUGET SOUND ENERGY INC,53057950802.0
25,130358,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,104,Pelham - Throgs Neck,2005-2007,2005-01-01T00:00:00,73.6,2005-01-01,2005,5UXTA6C09M,Kittitas,Ronald,WA,98940.0,2021,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,30,0,13.0,132655575,POINT (-121.02627 47.23781),PUGET SOUND ENERGY INC,53037975101.0
26,130359,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,105,Crotona -Tremont,2005-2007,2005-01-01T00:00:00,65.8,2005-01-01,2005,1G1RD6E46D,Whitman,Pullman,WA,99163.0,2013,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,0,9.0,174517626,POINT (-117.18147 46.73015),AVISTA CORP,53075000300.0
27,130360,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,106,High Bridge - Morrisania,2005-2007,2005-01-01T00:00:00,84.8,2005-01-01,2005,5YJ3E1EA1K,Snohomish,Bothell,WA,98021.0,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,1.0,270270773,POINT (-122.18384 47.8031),PUGET SOUND ENERGY INC,53061051926.0
28,130361,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,107,Hunts Point - Mott Haven,2005-2007,2005-01-01T00:00:00,71.0,2005-01-01,2005,5YJYGDEE8L,Skagit,Anacortes,WA,98221.0,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,0,10.0,132488996,POINT (-122.61214 48.51748),PUGET SOUND ENERGY INC,53057940302.0
29,130362,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,201,Greenpoint,2005-2007,2005-01-01T00:00:00,64.0,2005-01-01,2005,1G1FW6S05H,Thurston,Olympia,WA,98504.0,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,22.0,168485502,,PUGET SOUND ENERGY INC,53067010100.0
30,130363,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,202,Downtown - Heights - Slope,2005-2007,2005-01-01T00:00:00,58.9,2005-01-01,2005,5YJ3E1EB7J,Kitsap,Gig Harbor,WA,98329.0,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,26.0,475438554,POINT (-122.72457 47.38165),PUGET SOUND ENERGY INC,53035092902.0
31,130364,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,203,Bedford Stuyvesant - Crown Heights,2005-2007,2005-01-01T00:00:00,80.0,2005-01-01,2005,1N4AZ1CP5K,Thurston,Yelm,WA,98597.0,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,0,20.0,196343584,POINT (-122.60735 46.94239),PUGET SOUND ENERGY INC,53067012510.0
32,130365,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,204,East New York,2005-2007,2005-01-01T00:00:00,64.1,2005-01-01,2005,1G1RC6S57H,Kitsap,Poulsbo,WA,98370.0,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,0,23.0,317182134,POINT (-122.64681 47.73689),PUGET SOUND ENERGY INC,53035940100.0
33,130366,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,205,Sunset Park,2005-2007,2005-01-01T00:00:00,49.2,2005-01-01,2005,1N4AZ0CP3F,Thurston,Tumwater,WA,98501.0,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,22.0,108065814,POINT (-122.89166 47.03956),PUGET SOUND ENERGY INC,53067010400.0
34,130367,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,206,Borough Park,2005-2007,2005-01-01T00:00:00,68.2,2005-01-01,2005,1N4AZ0CP7E,Yakima,Yakima,WA,98902.0,2014,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,14.0,252680032,POINT (-120.52301 46.60138),PACIFICORP,53077000500.0
35,130368,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,207,East Flatbush - Flatbush,2005-2007,2005-01-01T00:00:00,54.9,2005-01-01,2005,1N4BZ0CP3G,Yakima,Yakima,WA,98908.0,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,14.0,103715314,POINT (-120.56916 46.58514),PACIFICORP,53077000401.0
36,130369,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,208,Canarsie - Flatlands,2005-2007,2005-01-01T00:00:00,61.1,2005-01-01,2005,1N4AZ0CPXD,Thurston,Olympia,WA,98506.0,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,22.0,177742428,POINT (-122.87741 47.05997),PUGET SOUND ENERGY INC,53067010200.0
37,130370,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,209,Bensonhurst - Bay Ridge,2005-2007,2005-01-01T00:00:00,73.4,2005-01-01,2005,WBA8E1C53J,Island,Langley,WA,98260.0,2018,BMW,330E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,45600,10.0,104647266,POINT (-122.40618 48.0399),PUGET SOUND ENERGY INC,53029971900.0
38,130371,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,210,Coney Island - Sheepshead Bay,2005-2007,2005-01-01T00:00:00,83.3,2005-01-01,2005,1N4AZ0CP9D,Kitsap,Poulsbo,WA,98370.0,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,23.0,263375976,POINT (-122.64681 47.73689),PUGET SOUND ENERGY INC,53035090400.0
39,130372,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,211,Williamsburg - Bushwick,2005-2007,2005-01-01T00:00:00,72.2,2005-01-01,2005,5YJ3E1EB3K,Thurston,Olympia,WA,98501.0,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,22.0,244764243,POINT (-122.89166 47.03956),PUGET SOUND ENERGY INC,53067011721.0
40,130373,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,301,Washington Heights,2005-2007,2005-01-01T00:00:00,60.5,2005-01-01,2005,KMHC65LD5K,Yakima,Selah,WA,98942.0,2019,HYUNDAI,IONIQ,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,29,0,15.0,323959233,POINT (-120.53113 46.65404),PACIFICORP,53077003200.0
41,130374,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,302,Central Harlem - Morningside Heights,2005-2007,2005-01-01T00:00:00,105.2,2005-01-01,2005,YV4BR0DL8N,Thurston,Olympia,WA,98502.0,2022,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,18,0,22.0,192758177,POINT (-122.92333 47.03779),PUGET SOUND ENERGY INC,53067010600.0
42,130375,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,303,East Harlem,2005-2007,2005-01-01T00:00:00,100.5,2005-01-01,2005,2C4RC1H78J,Oldham,Goshen,KY,40026.0,2018,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,33,0,,277234681,POINT (-85.57785 38.40025),,21185030802.0
43,130376,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,304,Upper West Side,2005-2007,2005-01-01T00:00:00,59.5,2005-01-01,2005,1G1FY6S03K,Skagit,Sedro Woolley,WA,98284.0,2019,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,39.0,117030469,POINT (-122.23857 48.50858),PUGET SOUND ENERGY INC,53057951501.0
44,130377,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,305,Upper East Side,2005-2007,2005-01-01T00:00:00,55.3,2005-01-01,2005,1G1FY6S05K,Chelan,Cashmere,WA,98815.0,2019,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,12.0,8977888,POINT (-120.47005 47.5224),PUD NO 1 OF CHELAN COUNTY,53007960501.0
45,130378,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,306,Chelsea - Clinton,2005-2007,2005-01-01T00:00:00,57.5,2005-01-01,2005,1N4AZ0CP4E,Snohomish,Marysville,WA,98270.0,2014,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,44.0,138632175,POINT (-122.1769 48.06114),PUGET SOUND ENERGY INC,53061052707.0
46,130379,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,307,Gramercy Park - Murray Hill,2005-2007,2005-01-01T00:00:00,52.7,2005-01-01,2005,5YJ3E1EB0K,Snohomish,Woodinville,WA,98072.0,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,1.0,334788590,POINT (-122.15545 47.75448),PUGET SOUND ENERGY INC,53061051926.0
47,130380,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,308,Greenwich Village - SoHo,2005-2007,2005-01-01T00:00:00,45.4,2005-01-01,2005,5YJ3E1EB7K,Chelan,Wenatchee,WA,98801.0,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,12.0,344216792,POINT (-120.30522 47.41494),PUD NO 1 OF CHELAN COUNTY,53007960700.0
48,130381,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,309,Union Square - Lower East Side,2005-2007,2005-01-01T00:00:00,66.9,2005-01-01,2005,KNDCC3LG2K,Thurston,Lacey,WA,98516.0,2019,KIA,NIRO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239,0,22.0,111494449,POINT (-122.75379 47.06316),PUGET SOUND ENERGY INC,53067012225.0
49,130382,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,310,Lower Manhattan,2005-2007,2005-01-01T00:00:00,59.5,2005-01-01,2005,5YJXCBE29K,Snohomish,Bothell,WA,98021.0,2019,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,289,0,1.0,275048924,POINT (-122.18384 47.8031),PUGET SOUND ENERGY INC,53061051918.0
50,130383,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,401,Long Island City - Astoria,2005-2007,2005-01-01T00:00:00,55.3,2005-01-01,2005,1N4AZ1CP7J,Kitsap,Bremerton,WA,98311.0,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,0,23.0,122250390,POINT (-122.6462 47.63132),PUGET SOUND ENERGY INC,53035091702.0
51,130384,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,402,West Queens,2005-2007,2005-01-01T00:00:00,44.6,2005-01-01,2005,5YJXCDE25L,Thurston,Tumwater,WA,98501.0,2020,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,289,0,22.0,126136867,POINT (-122.89166 47.03956),PUGET SOUND ENERGY INC,53067011821.0
52,130385,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,403,Flushing - Clearview,2005-2007,2005-01-01T00:00:00,54.5,2005-01-01,2005,1N4BZ1CP9K,King,Redmond,WA,98053.0,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,0,45.0,478838776,POINT (-122.03287 47.68555),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032333.0
53,130386,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,404,Bayside - Little Neck,2005-2007,2005-01-01T00:00:00,48.9,2005-01-01,2005,1N4AZ0CP2D,Snohomish,Snohomish,WA,98296.0,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,1.0,159339302,POINT (-122.1389 47.87115),PUGET SOUND ENERGY INC,53061052122.0
54,130387,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,405,Ridgewood - Forest Hills,2005-2007,2005-01-01T00:00:00,72.0,2005-01-01,2005,WA1E2AFY9N,Snohomish,Snohomish,WA,98296.0,2022,AUDI,Q5,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,22,0,1.0,198672946,POINT (-122.1389 47.87115),PUGET SOUND ENERGY INC,53061052122.0
55,130388,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,406,Fresh Meadows,2005-2007,2005-01-01T00:00:00,52.0,2005-01-01,2005,KNDJX3AE3G,Snohomish,Lynnwood,WA,98036.0,2016,KIA,SOUL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93,31950,1.0,195123932,POINT (-122.29245 47.82557),PUGET SOUND ENERGY INC,53061051932.0
56,164932,383,Sulfur Dioxide (SO2),Mean,ppb,CD,208,Riverdale and Fieldston (CD8),Winter 2009-10,2009-12-01T00:00:00,4.24,2009-12-01,2009,1N4AZ0CP1F,King,Bothell,WA,98011.0,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,1.0,108239806,POINT (-122.20563 47.76144),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033021802.0
57,130389,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,407,Southwest Queens,2005-2007,2005-01-01T00:00:00,49.0,2005-01-01,2005,5YJ3E1EB3J,Santa Cruz,Santa Cruz,CA,95062.0,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,,341504929,POINT (-122.01027 36.97542),,6087100900.0
58,130390,639,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,408,Jamaica,2005-2007,2005-01-01T00:00:00,58.2,2005-01-01,2005,KNDCD3LD8J,Thurston,Olympia,WA,98501.0,2018,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,26,0,35.0,227923013,POINT (-122.89166 47.03956),PUGET SOUND ENERGY INC,53067011721.0
